model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,stage,window_size,rmse
masked,robust,0.4,0.15,1.5,3.75,1,6,89,0.0258033916253
masked,robust,0.4,0.15,1.5,3.75,1,7,63,0.0308081335098
masked,robust,0.4,0.15,1.5,3.75,1,8,45,0.0363057299835
masked,robust,0.4,0.15,1.5,3.75,1,9,31,0.0450415056212
masked,linear,0.4,0.15,1.5,3.75,2,1,501,0.0314761535403
masked,linear,0.4,0.15,1.5,3.75,2,2,355,0.0227070323133
masked,linear,0.4,0.15,1.5,3.75,2,3,251,0.0305268292036
masked,linear,0.4,0.15,1.5,3.75,2,4,177,0.0327232100608
masked,linear,0.4,0.15,1.5,3.75,2,5,125,0.0328216188847
masked,linear,0.4,0.15,1.5,3.75,2,6,89,0.0364472339429
masked,linear,0.4,0.15,1.5,3.75,2,7,63,0.044062342508
masked,linear,0.4,0.15,1.5,3.75,2,8,45,0.0517957337125
masked,linear,0.4,0.15,1.5,3.75,2,9,31,0.0716395186068
masked,robust,0.4,0.15,1.5,3.75,2,1,501,0.0208285395212
masked,robust,0.4,0.15,1.5,3.75,2,2,355,0.0140487165502
masked,robust,0.4,0.15,1.5,3.75,2,3,251,0.0176338461189
masked,robust,0.4,0.15,1.5,3.75,2,4,177,0.0188574542039
masked,robust,0.4,0.15,1.5,3.75,2,5,125,0.0201791971709
masked,robust,0.4,0.15,1.5,3.75,2,6,89,0.0255256054648
masked,robust,0.4,0.15,1.5,3.75,2,7,63,0.02966740552
masked,robust,0.4,0.15,1.5,3.75,2,8,45,0.0310409926853
masked,robust,0.4,0.15,1.5,3.75,2,9,31,0.0428747119666
masked,linear,0.4,0.15,2,5,0,1,501,0.0732768006828
masked,linear,0.4,0.15,2,5,0,2,355,0.0450101567645
masked,linear,0.4,0.15,2,5,0,3,251,0.0433529497459
masked,linear,0.4,0.15,2,5,0,4,177,0.0419787797344
masked,linear,0.4,0.15,2,5,0,5,125,0.0497539854511
masked,linear,0.4,0.15,2,5,0,6,89,0.0539840684129
masked,linear,0.4,0.15,2,5,0,7,63,0.0594862176281
masked,linear,0.4,0.15,2,5,0,8,45,0.0725043486456
